"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"284","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","88","1","indent","Expected indentation of 12 spaces but found 8.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"285","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","88","9","quote-props","Unquoted property 'privateKeyFileId' found.","https://eslint.org/docs/latest/rules/quote-props","suggestion","eslint-lwc"
"286","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","88","26","key-spacing","Missing space before value for key 'privateKeyFileId'.","https://eslint.org/docs/latest/rules/key-spacing","layout","eslint-lwc"
"287","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","89","1","indent","Expected indentation of 12 spaces but found 8.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"288","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","89","9","quote-props","Unquoted property 'orgclientId' found.","https://eslint.org/docs/latest/rules/quote-props","suggestion","eslint-lwc"
"289","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","89","9","sort-keys","Expected object keys to be in ascending order. 'orgclientId' should be before 'privateKeyFileId'.","https://eslint.org/docs/latest/rules/sort-keys","suggestion","eslint-lwc"
"290","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","89","21","key-spacing","Missing space before value for key 'orgclientId'.","https://eslint.org/docs/latest/rules/key-spacing","layout","eslint-lwc"
"291","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","89","34","comma-dangle","Unexpected trailing comma.","https://eslint.org/docs/latest/rules/comma-dangle","layout","eslint-lwc"
"292","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","89","35","no-trailing-spaces","Trailing spaces not allowed.","https://eslint.org/docs/latest/rules/no-trailing-spaces","layout","eslint-lwc"
"293","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","90","1","indent","Expected indentation of 8 spaces but found 5.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"294","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","91","1","indent","Expected indentation of 8 spaces but found 5.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"295","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","91","6","no-console","Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console","suggestion","eslint-lwc"
"296","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","91","18","prefer-template","Unexpected string concatenation.","https://eslint.org/docs/latest/rules/prefer-template","suggestion","eslint-lwc"
"297","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","91","18","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"298","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","91","33","space-infix-ops","Operator '+' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"299","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","92","1","indent","Expected indentation of 8 spaces but found 5.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"300","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","92","6","no-whitespace-before-property","Unexpected whitespace before property catch.","https://eslint.org/docs/latest/rules/no-whitespace-before-property","layout","eslint-lwc"
"301","2","1","/home/runner/work/DevVillaProject1/DevVillaProject1/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","92","30","quote-props","Unquoted property 'cd' found.","https://eslint.org/docs/latest/rules/quote-props","suggestion","eslint-lwc"
